Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,902.989990,934.729980,899.349976,931.799988,931.799988,4048270000
2009-01-05,929.169983,936.630005,919.530029,927.450012,927.450012,5413910000
2009-01-06,931.169983,943.849976,927.280029,934.700012,934.700012,5392620000
2009-01-07,927.450012,927.450012,902.369995,906.650024,906.650024,4704940000
2009-01-08,905.729980,910.000000,896.809998,909.729980,909.729980,4991550000
2009-01-09,909.909973,911.929993,888.309998,890.349976,890.349976,4716500000
2009-01-12,890.400024,890.400024,864.320007,870.260010,870.260010,4725050000
2009-01-13,869.789978,877.020020,862.020020,871.789978,871.789978,5567460000
2009-01-14,867.280029,867.280029,836.929993,842.619995,842.619995,5407880000
2009-01-15,841.989990,851.590027,817.039978,843.739990,843.739990,7807350000
2009-01-16,844.450012,858.130005,830.659973,850.119995,850.119995,6786040000
2009-01-20,849.640015,849.640015,804.469971,805.219971,805.219971,6375230000
2009-01-21,806.770020,841.719971,804.299988,840.239990,840.239990,6467830000
2009-01-22,839.739990,839.739990,811.289978,827.500000,827.500000,5843830000
2009-01-23,822.159973,838.609985,806.070007,831.950012,831.950012,5832160000
2009-01-26,832.500000,852.530029,827.690002,836.570007,836.570007,6039940000
2009-01-27,837.299988,850.450012,835.400024,845.710022,845.710022,5353260000
2009-01-28,845.729980,877.859985,845.729980,874.090027,874.090027,6199180000
2009-01-29,868.890015,868.890015,844.150024,845.140015,845.140015,5067060000
2009-01-30,845.690002,851.659973,821.669983,825.880005,825.880005,5350580000
2009-02-02,823.090027,830.780029,812.869995,825.440002,825.440002,5673270000
2009-02-03,825.690002,842.599976,821.979980,838.510010,838.510010,5886310000
2009-02-04,837.770020,851.849976,829.179993,832.229980,832.229980,6420450000
2009-02-05,831.750000,850.549988,819.909973,845.849976,845.849976,6624030000
2009-02-06,846.090027,870.750000,845.419983,868.599976,868.599976,6484100000
2009-02-09,868.239990,875.010010,861.650024,869.890015,869.890015,5574370000
2009-02-10,866.869995,868.049988,822.989990,827.159973,827.159973,6770170000
2009-02-11,827.409973,838.219971,822.299988,833.739990,833.739990,5926460000
2009-02-12,829.909973,835.479980,808.059998,835.190002,835.190002,6476460000
2009-02-13,833.950012,839.429993,825.210022,826.840027,826.840027,5296650000
2009-02-17,818.609985,818.609985,789.169983,789.169983,789.169983,5907820000
2009-02-18,791.059998,796.169983,780.429993,788.419983,788.419983,5740710000
